Long,lat,fecha,NDVI,prec,suelos,dem,inundacion
-62.4275751852756,-33.1862099629459,09/01/15,0.4742861,36,4,118,0
-62.6282942071439,-32.9889521742859,09/01/15,0.1737538,3.7,4,114,0
-62.4062541783405,-33.1893347484581,09/01/15,0.6514231,27.3,4,118,0
-62.1647804186654,-32.7866587230457,09/01/15,0.3038395,2.9,4,105,0
-62.2217976117441,-32.9588909389287,09/01/15,0.6291688,47.6,4,105,0
-62.2065921156346,-33.6325200184681,09/01/15,0.6568614,2.7,4,117,0
-62.1551752908137,-32.8331808686695,09/01/15,0.1910288,4.6,4,109,0
-62.4729436625679,-32.8914836987476,09/01/15,0.6312645,3.7,4,113,0
-62.2040853108519,-33.4850107542451,09/01/15,-0.03061909,3.1,4,106,1
-62.2405404648983,-33.136759278864,09/01/15,0.6064941,12.8,4,112,0
-62.5116871627398,-33.1280355401288,09/01/15,0.4747143,14.9,4,117,0
-62.2643926326084,-33.1039289630566,09/01/15,0.5798706,41.8,4,111,0
-62.3251920665964,-33.6856864500652,09/01/15,0.2632177,5.2,4,114,0
-62.3293779599601,-33.6644675942234,09/01/15,0.354332,64.4,4,117,0
-62.4358211926605,-32.7896692739353,09/01/15,0.3839841,4.9,4,110,0
-62.3593018444408,-33.822015013649,09/01/15,0.6010388,6.8,4,121,0
-62.3768968068696,-33.7888212617388,09/01/15,0.5199121,12.5,4,125,0
-62.1820461529726,-32.9285942400773,09/01/15,0.5697713,38.5,4,94,0
-62.1845342413059,-32.8831080330473,09/01/15,0.5755742,5.5,4,103,0
-62.4336908459244,-33.57532123294,09/01/15,0.4570616,51,4,116,0
-62.3973622693544,-33.032599355549,09/01/15,0.6441438,5.4,4,105,0
-62.2377469939313,-33.7695673739875,09/01/15,0.5594077,3.6,4,120,0
-62.6857897607101,-33.0162796032399,09/01/15,0.6162595,3.3,4,121,0
-62.2044357121765,-33.0234544741109,09/01/15,0.6150587,30.5,4,110,0
-62.3794247249323,-32.8750442047337,09/01/15,0.4402081,2.7,4,108,0
-62.6373412484534,-32.9187272002342,09/01/15,0.225221,22.2,4,116,0
-62.7148566296931,-33.0009886778748,09/01/15,0.5576397,10,4,119,0
-62.7553144534105,-33.8310937014838,09/01/15,0.2771793,2.9,4,120,0
-62.1611555951942,-33.5443750584595,09/01/15,0.6626518,30.9,4,115,0
-62.1427643070861,-33.0922038154032,09/01/15,0.5065447,2.5,4,109,0
-62.1283160883112,-33.0836455939101,09/01/15,0.5840359,5.5,4,110,0
-62.361886039668,-33.8125337673888,09/01/15,0.5712997,5.2,4,123,0
-62.2397174564862,-33.279071108739,09/01/15,0.3234369,3,4,118,0
-62.3192328613856,-33.0751517713492,09/01/15,0.3876325,19.4,4,110,0
-62.1567508386015,-33.2131202176366,09/01/15,0.6013027,27,4,113,0
-62.2123415757936,-33.3051768274417,09/01/15,0.5466308,12.6,4,116,0
-62.4493252875428,-33.6020149530711,09/01/15,0.5117611,17.9,4,118,0
-62.3881726531236,-33.0095534560477,09/01/15,0.631112,3.7,4,105,0
-62.2350296308366,-32.7960218144664,09/01/15,0.5194686,4.9,4,109,0
-62.1562122663437,-33.7949539806787,09/01/15,0.5816093,3,4,116,0
-62.7103882574091,-33.7889697885534,09/01/15,0.4241532,2.9,4,125,0
-62.1788152738802,-33.0412789348393,09/01/15,0.6408072,3.7,4,110,0
-62.4099430804832,-33.181625009682,09/01/15,0.2197828,19.4,4,115,0
-62.437288641,-33.0739766005719,09/01/15,0.5230565,4.8,4,112,0
-62.3343308800729,-33.2928112148896,09/01/15,0.6391836,5.1,4,114,0
-62.2618961496059,-33.1568228898554,09/01/15,0.6443057,51,4,114,0
-62.4481127266193,-33.1719284083394,09/01/15,0.6301113,5.4,4,118,0
-62.2940644396886,-32.9428911149759,09/01/15,0.6072022,1,4,110,0
-62.1253031877501,-33.5001089414744,09/01/15,0.4965763,17.9,4,117,0
-62.600969379448,-33.007134635798,09/01/15,0.595179,8.9,4,112,0
-62.2135618327695,-33.7888386911865,09/01/15,0.4716078,27.3,4,117,0
-62.1150320379306,-33.6328567182109,09/01/15,0.6207983,22.1,4,118,0
-62.4345504627255,-32.840929218636,09/01/15,0.4499874,3.2,4,109,0
-62.1898821584426,-33.100936467127,09/01/15,0.6407557,8.2,4,108,0
-62.3658516361934,-32.9457275578443,09/01/15,0.5884014,18.8,4,105,0
-62.2887301117889,-32.880584213495,09/01/15,0.2337655,8.4,4,108,0
-62.307132785015,-33.6941075341881,09/01/15,0.650583,2.1,4,122,0
-62.2190541602826,-33.7858588061019,09/01/15,0.2440014,6.9,4,116,0
-62.5112998479739,-33.0215647420957,09/01/15,0.6376666,2.5,4,111,0
-62.2094153184006,-33.705354705283,09/01/15,0.5013981,8.4,4,117,0
-62.1515768393708,-33.8279402754425,09/01/15,0.5314872,18.8,4,117,0
-62.6297786365887,-32.9884777378449,09/01/15,0.1879594,1.6,4,111,0
-62.5300683183863,-32.9284163573627,09/01/15,0.4753666,3.8,4,114,0
-62.1345989610386,-33.386482571968,09/01/15,0.4856091,1.6,4,113,0
-62.4514806109861,-33.0067125949203,09/01/15,0.5574857,8.9,4,113,0
-62.4136309877471,-32.9894861261456,09/01/15,0.4310206,8.3,4,115,0
-62.1515485321845,-33.3792799399188,09/01/15,0.4139878,18.6,4,117,0
-62.1931667869233,-33.157016611867,09/01/15,0.5483017,14.7,4,114,0
-62.3948424322345,-33.0641954870769,09/01/15,0.5870572,5.4,4,109,0
-62.1284400126033,-33.7599077169713,09/01/15,0.5829581,4.2,4,113,0
-62.1291775315572,-33.324619786984,09/01/15,0.4010873,14.2,4,113,0
-62.6420564653527,-32.7983880423325,09/01/15,0.2198417,18.8,4,120,0
-62.4105134874452,-33.8425320593908,09/01/15,0.5025985,5.8,4,127,0
-62.3417754523954,-32.9874486728744,09/01/15,0.4456032,36,4,108,0
-62.2260324945864,-33.141721271562,09/01/15,0.467033,48.5,4,114,0
-62.2308158405401,-32.8525045891299,09/01/15,0.5356984,31,4,106,0
-62.3105763218856,-32.7874389838574,09/01/15,0.5706964,5.4,4,110,0
-62.3444549590571,-33.7016683319042,09/01/15,-0.1032532,4.4,4,114,1
-62.1994812282378,-32.9336108333704,09/01/15,0.225094,34.6,4,111,0
-62.2138467128634,-33.1535632336185,09/01/15,0.6523522,6.7,4,115,0
-62.3820712046665,-33.0585621360619,09/01/15,0.6235268,14.7,4,109,0
-62.4316168731039,-33.029343401618,09/01/15,0.3131006,5.6,4,109,0
-62.1273774418035,-33.7189491925588,09/01/15,0.6418754,36,4,115,0
-62.432031710274,-33.0741103953881,09/01/15,0.6044371,18.6,4,109,0
-62.2613080529899,-33.7214037991613,09/01/15,0.4818984,5.1,4,114,0
-62.2638356123763,-33.5902360578388,09/01/15,0.491113,4.2,4,125,0
-62.5468333090721,-32.8392495801167,09/01/15,0.4841579,3.1,4,117,0
-62.5296749410541,-33.2817968385795,09/01/15,0.03308999,18.7,4,113,1
-62.2867975589948,-33.2181479710763,09/01/15,0.3815958,14.9,4,113,0
-62.7741994913066,-33.8374255320374,09/01/15,0.1816448,33.2,4,118,0
-62.252270526114,-32.9372219891532,09/01/15,0.4009462,3.7,4,106,0
-62.3584003172695,-32.7957668628674,09/01/15,0.3869004,30.9,4,111,0
-63.0543057819255,-33.6631378430819,09/01/15,0.6542619,34.2,3,125,0
-62.9029198676415,-33.7933151863967,09/01/15,0.3372076,7.2,3,130,0
-62.9280600073153,-33.0733634046767,09/01/15,0.2633345,6.7,3,127,0
-62.8863506644389,-33.0870637093111,09/01/15,0.6145037,2.5,3,124,0
-62.8218922793711,-33.2829422323635,09/01/15,0.4141358,8.4,3,114,0
-62.4669023818824,-33.0251419434746,09/01/15,0.3160744,8.3,3,102,0
-62.4194608456519,-33.0430464683842,09/01/15,0.2787314,7.2,3,97,0
-62.915662287593,-33.0088509205091,09/01/15,0.2361402,4,3,125,0
